sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_gan_cnn_metric_wins,cnn_gan_gan_metric_wins,cnn_gan_ties,baseline_bicubic_metric_wins,baseline_cnn_metric_wins,baseline_gan_metric_wins,baseline_metric_ties,crop_mae_bicubic,crop_mae_cnn,crop_mae_gan,crop_rmse_bicubic,crop_rmse_cnn,crop_rmse_gan,question,groups,crop_panel,full_panel,forced_reason
0,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,4,7,4,0,1.104451109682559,1.2816238977109606,1.4862445391804795,1.736792158813729,1.9258647112881395,2.136984654293735,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_000_crop.png,panels_full/sample_000_full.png,
1,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,2,9,4,0,1.1209601367679716,1.3027362554095452,1.5689019608899253,1.7729739964583178,1.9308019428543797,2.249494524177031,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_001_crop.png,panels_full/sample_001_full.png,
2,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,0,2,10,3,0,1.1803722153394482,1.3468068682713783,1.5392256256593828,1.837480917078072,1.9772863568515269,2.2093730735941097,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_002_crop.png,panels_full/sample_002_full.png,
3,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,12,3,0,2,8,5,0,1.2133073470710223,1.3672631228741374,1.6299176479037851,1.8759992993005596,2.0151051670852853,2.351292561257695,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_003_crop.png,panels_full/sample_003_full.png,
4,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,0,2,10,3,0,1.2558368097094352,1.3942784483596915,1.6583950080930663,1.9070635193066992,2.0132710280042194,2.327251450831358,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_004_crop.png,panels_full/sample_004_full.png,
5,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,0,2,10,3,0,1.248738904320926,1.3931315609189914,1.6003549574472709,1.8970638522757306,2.026084193781309,2.274198092555196,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_005_crop.png,panels_full/sample_005_full.png,
6,CNN,CNN,GAN,GAN,CNN,CNN,CNN,CNN,13,2,0,2,9,4,0,1.2011220861344192,1.315174791089521,1.610795879242287,1.8195822611783634,1.903039303136141,2.243713810385098,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_006_crop.png,panels_full/sample_006_full.png,
7,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,0,3,9,3,0,1.139970518711052,1.234991600837093,1.5141073380921444,1.7130434188061778,1.796234465237622,2.133015797792258,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_007_crop.png,panels_full/sample_007_full.png,
8,CNN,CNN,GAN,GAN,CNN,CNN,GAN,CNN,11,4,0,5,6,4,0,1.080391151692602,1.2080293503971553,1.4201362473831978,1.5766227533409083,1.7145462452209435,1.9635127390152,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_008_crop.png,panels_full/sample_008_full.png,
9,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,3,3,9,0,1.0828371049673295,1.2144176369956403,1.4003732501684862,1.5692388610629304,1.7097005482880212,1.9492847464840073,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_009_crop.png,panels_full/sample_009_full.png,
10,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,4,2,9,0,1.1030041095067282,1.177795399388997,1.4473135197054945,1.5700035521269753,1.6088349491719454,2.011208439825494,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_010_crop.png,panels_full/sample_010_full.png,adjacent control before sample 12
11,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,3,2,10,0,1.1723113674065098,1.2071667232693288,1.5326959712352255,1.6493703383770717,1.6512969789818894,2.1573252496630926,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_011_crop.png,panels_full/sample_011_full.png,adjacent control before sample 12
12,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,6,9,0,3,3,9,0,1.1900836851552594,1.248762923067552,1.5089403869432862,1.6635039597989114,1.6801355922147636,2.0883121564523663,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_012_crop.png,panels_full/sample_012_full.png,strong MT-GAN anchor
13,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,4,7,0,1.1648077590756294,1.223735226382705,1.573785601856507,1.6358468828896273,1.653529185913471,2.1356538847284026,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_013_crop.png,panels_full/sample_013_full.png,adjacent control after sample 12
14,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,8,3,4,0,1.0858610390516696,1.1185239486195497,1.4266682481027966,1.5361926968542985,1.5214390698814044,1.9297611627533378,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_014_crop.png,panels_full/sample_014_full.png,
15,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,7,2,6,0,0.901278942701756,0.93538275164261,1.2401123883853142,1.3156207494499181,1.2785869828362018,1.6983710898160236,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_015_crop.png,panels_full/sample_015_full.png,
16,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,8,4,3,0,0.7305345900187967,0.7618619297788246,1.0449013917805132,1.067705123425046,1.0496712137526243,1.4250977861087282,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_016_crop.png,panels_full/sample_016_full.png,moderate MT-GAN ridge-rich motif
17,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,6,4,5,0,0.6571704696514644,0.7053517705085688,0.9989972889321507,0.9383076052737742,0.94996176511745,1.350514240881158,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_017_crop.png,panels_full/sample_017_full.png,strong MT-GAN anchor
18,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,10,5,0,8,3,4,0,0.6040279599302448,0.6565235962043516,0.976349452350114,0.8703294624243257,0.880322635588449,1.3256472529123364,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_018_crop.png,panels_full/sample_018_full.png,moderate/lower MT-GAN ridge-rich motif
19,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,8,1,6,0,0.5986269973125309,0.6491521769249812,0.9981939713808242,0.8892237768298414,0.8932899715542589,1.361749355434966,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_019_crop.png,panels_full/sample_019_full.png,strong MT-GAN anchor
20,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,0,8,2,5,0,0.6217686265893281,0.6668910112511367,1.013289041154785,0.944862759536915,0.9461955002222234,1.3965042228747655,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_020_crop.png,panels_full/sample_020_full.png,moderate/lower MT-GAN ridge-rich motif
21,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,9,2,4,0,0.8067555460846052,0.8733412438444793,1.3055490237643244,1.1665375715297737,1.2159027303142982,1.8224580822140155,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_021_crop.png,panels_full/sample_021_full.png,
22,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,9,6,0,8,3,4,0,1.1306280217459426,1.241297367173247,1.591071094859508,1.6298131061703856,1.7345516184268688,2.2436834739967533,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_022_crop.png,panels_full/sample_022_full.png,
23,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,7,5,3,0,1.2643328202632256,1.3745574067509734,1.6496628511603921,1.8678788661183745,1.9917921339660105,2.384135802191288,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_023_crop.png,panels_full/sample_023_full.png,
24,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,5,7,3,0,1.4403726638294756,1.5266462110867725,1.8471554447128438,2.101114781305239,2.227445228299135,2.6889154495540395,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_024_crop.png,panels_full/sample_024_full.png,
25,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,0,6,5,4,0,1.6402429885603487,1.748473646750208,2.0221295711677523,2.3626202429309515,2.5538000624419483,2.8854578625957177,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_025_crop.png,panels_full/sample_025_full.png,lower-confidence MT-GAN limitation case
26,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,3,5,7,0,1.8240294264664407,1.9436849729833192,2.230709108046722,2.5956030610334704,2.766365991955306,3.1908523956274015,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_026_crop.png,panels_full/sample_026_full.png,
27,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,0,2,9,4,0,1.8939168168778997,1.9823604240018176,2.2958397709875134,2.737699737663249,2.882553143354738,3.33724104629289,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_027_crop.png,panels_full/sample_027_full.png,
28,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,0,3,7,5,0,1.9456800526718143,2.0103954429671287,2.3133760548743885,2.825823771411173,2.8880084447124794,3.3751754086124577,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_028_crop.png,panels_full/sample_028_full.png,
