sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_metric_wins,gan_metric_wins,ties,overall_metric_majority,distributional_gan_wins_out_of_5,tail_gan_wins_out_of_6,mt_gan_case,pd_cnn_case,gan_metric_majority,gan_metric_majority_but_mt_not_gan,mt_gan_tier,groups,recommendation_group,gan_winning_measures,cnn_winning_measures,tie_measures,wpd_bias_cnn,wpd_bias_gan,wpd_bias_winner,wpd_mae_cnn,wpd_mae_gan,wpd_mae_winner,wpd_rmse_cnn,wpd_rmse_gan,wpd_rmse_winner,wpd_w1_cnn,wpd_w1_gan,wpd_w1_winner,psd_log_l2_cnn,psd_log_l2_gan,psd_log_l2_winner,psd_slope_abs_delta_cnn,psd_slope_abs_delta_gan,psd_slope_abs_delta_winner,grad_mae_cnn,grad_mae_gan,grad_mae_winner,grad_w1_cnn,grad_w1_gan,grad_w1_winner,grad_kurtosis_abs_delta_cnn,grad_kurtosis_abs_delta_gan,grad_kurtosis_abs_delta_winner,exceed_frac_abs_delta_t5_cnn,exceed_frac_abs_delta_t5_gan,exceed_frac_abs_delta_t5_winner,exceed_frac_abs_delta_t10_cnn,exceed_frac_abs_delta_t10_gan,exceed_frac_abs_delta_t10_winner,exceed_frac_abs_delta_t15_cnn,exceed_frac_abs_delta_t15_gan,exceed_frac_abs_delta_t15_winner,exceed_frac_abs_delta_p90_cnn,exceed_frac_abs_delta_p90_gan,exceed_frac_abs_delta_p90_winner,exceed_frac_abs_delta_p95_cnn,exceed_frac_abs_delta_p95_gan,exceed_frac_abs_delta_p95_winner,exceed_frac_abs_delta_p99_cnn,exceed_frac_abs_delta_p99_gan,exceed_frac_abs_delta_p99_winner
92,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,4,11,0,GAN,5,5,True,False,True,False,Strong,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · Gradient MAE · Exceedance |Δ|, s>5",,-32.485902731701344,22.249163870829985,GAN,124.87190197617402,173.27360166649362,CNN,228.45503584478845,307.4015936147459,CNN,34.39555782130183,22.960896499621796,GAN,0.8519471921149813,0.46793489253320597,GAN,1.1122271385683482,1.0289064233037917,GAN,0.30007095286464147,0.33620404752662225,CNN,0.21035331459009776,0.05122179162100526,GAN,8.91155809233602,7.572312394860077,GAN,0.00046400000000001995,0.0023839999999999417,CNN,0.014460000000000028,0.01153599999999999,GAN,0.004936,0.0005040000000000001,GAN,0.011644000000000002,0.004788000000000001,GAN,0.010972000000000003,0.0015239999999999976,GAN,0.006808,0.0010760000000000006,GAN
12,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,6,9,0,GAN,3,5,True,False,True,False,Strong,gan_distributional_cases;mt_gan_diagnostic;neartie_topology_validator_disagreement;topology_consensus_gan,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5",,-42.03415437463163,-6.476021247703606,GAN,264.69706065698887,339.54737388718826,CNN,477.7448860366581,589.640514041184,CNN,46.361014311737414,30.83364433689082,GAN,0.9539183791233589,0.6403149726723225,GAN,0.8178272209550235,1.4351459442358572,CNN,0.3713575429796618,0.3986705431741365,CNN,0.23368142016855964,0.038296960361608644,GAN,0.13138511104652295,1.242707977806095,CNN,0.0031800000000000717,0.0048960000000000115,CNN,0.007996000000000003,0.005755999999999983,GAN,0.006856000000000001,0.0030839999999999756,GAN,0.008984000000000006,0.004364000000000007,GAN,0.008652,0.004744000000000005,GAN,0.00762,0.0024920000000000003,GAN
17,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,GAN,4,3,True,False,True,False,Strong,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, p90 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15",,-45.220343449011274,-0.8645196197459013,GAN,218.71576822750694,290.87612744671685,CNN,400.63854911669046,517.6422465654327,CNN,49.49853220783566,46.01329970075698,GAN,0.7506764575839527,0.6988535533844354,GAN,0.8903186226383951,1.0561965905001556,CNN,0.28507626627305843,0.3172274667764091,CNN,0.2060303133260675,0.04104915362087915,GAN,2.399742783405209,1.5077106435411558,GAN,0.0011079999999999979,0.008468000000000031,CNN,0.007923999999999931,0.011816000000000049,CNN,0.0012520000000000309,0.0012719999999999954,CNN,0.006420000000000009,0.0015520000000000117,GAN,0.004144000000000002,0.002144,GAN,0.00504,0.004848,GAN
19,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,GAN,4,3,True,False,True,False,Strong,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"WPD Bias |·| · PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, p95",,-50.74667362626337,-10.956527435489065,GAN,250.91132168502006,344.8814018788616,CNN,482.1868325791299,638.1688959582383,CNN,57.33646949519785,81.0658039356618,CNN,0.673941461341186,0.6605636616364582,GAN,0.8640389918414262,0.8202909409800567,GAN,0.29177907415586,0.32931837447414236,CNN,0.21959466624139035,0.05174440757187934,GAN,6.080060697602498,2.101303547889213,GAN,0.0019599999999999618,0.007824000000000053,CNN,0.015391999999999961,0.020480000000000054,CNN,0.0009440000000000004,0.0007440000000000224,GAN,0.012728000000000003,0.010048000000000001,GAN,0.0020720000000000044,0.006932000000000001,CNN,0.007052,0.005228,GAN
77,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,GAN,4,4,True,False,True,False,Strong,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD Bias |·| · WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>10 · Exceedance |Δ|, p90",,-53.64958059738344,105.80026694608875,CNN,221.58329879057288,314.03089218441664,CNN,431.14098996295195,597.7224071528622,CNN,61.67675399674606,106.01298320394316,CNN,0.9611059329651137,0.43394452256675703,GAN,1.1314660462026205,0.9216573960778918,GAN,0.4240704174793279,0.4471722927784261,CNN,0.31103826021448855,0.07915362121297687,GAN,1.3439243437172728,0.7212635533656329,GAN,0.008016000000000023,0.00567200000000001,GAN,0.008460000000000023,0.03223199999999998,CNN,0.012296,0.007831999999999999,GAN,0.019240000000000007,0.03046399999999999,CNN,0.017920000000000005,0.016519999999999993,GAN,0.00652,0.005011999999999999,GAN
16,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,CNN,3,3,True,False,False,False,Moderate,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"WPD Bias |·| · WPD Wasserstein-1 · PSD log-L2 · Gradient Wasserstein-1 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p99","WPD MAE · WPD RMSE · PSD slope |Δ| · Gradient MAE · Gradient kurtosis |Δ| · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, p95",,-49.934749400272594,-8.80870968223194,GAN,225.4427798674337,294.94634611176224,CNN,402.972420101095,495.50522370170654,CNN,51.06291342975699,42.68351912343216,GAN,0.8783723181781088,0.7117325701226265,GAN,0.9722635161421664,1.2412497711884538,CNN,0.299145064972306,0.3328234712699934,CNN,0.21512043905997383,0.043829317169734164,GAN,0.39340378020357036,0.751094766341005,CNN,0.0039479999999999515,0.00918399999999997,CNN,0.0038719999999999866,0.006399999999999961,CNN,0.00274000000000002,0.0017560000000000353,GAN,0.0059080000000000105,0.0026359999999999995,GAN,0.0034280000000000005,0.0036600000000000035,CNN,0.007064000000000001,0.004772,GAN
65,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,CNN,4,3,True,False,False,False,Moderate,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>15 · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD Bias |·| · WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, p90",,-20.7488850869019,26.527184813444254,CNN,81.03750374504327,117.05570192079571,CNN,185.13229828210328,247.00277723564068,CNN,21.081074632648775,26.542687970413848,CNN,0.6906870037260925,0.255383766675302,GAN,0.7795077338645164,0.5218071017956675,GAN,0.2637801728506789,0.2813444523076939,CNN,0.20352841028460372,0.031080720156120012,GAN,4.141590632159655,0.3453115159897493,GAN,0.00048800000000004395,0.014020000000000032,CNN,0.009807999999999983,0.015483999999999998,CNN,0.001304,0.0006399999999999999,GAN,0.010648000000000005,0.012712000000000001,CNN,0.011624000000000002,0.005024000000000001,GAN,0.003868,0.0001799999999999996,GAN
68,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,CNN,4,3,True,False,False,False,Moderate,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90 · Exceedance |Δ|, p99","WPD Bias |·| · WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, p95",,-30.48824934571686,49.0884220381757,CNN,119.5658025446585,173.54531176814328,CNN,247.50968944808298,344.6354698614344,CNN,34.040499255743335,49.44219616123978,CNN,0.7691288517928184,0.3838317639519264,GAN,0.7130082453547126,0.5332339886508981,GAN,0.3058205929406544,0.32157289894612184,CNN,0.23521299926235945,0.0358583693262675,GAN,3.412524981094606,1.4262055402149798,GAN,0.0031160000000000077,0.006996000000000002,CNN,0.012379999999999974,0.01720000000000005,CNN,0.005267999999999999,0.0030640000000000008,GAN,0.012808,0.012719999999999995,GAN,0.0060160000000000005,0.010807999999999998,CNN,0.005856,0.0036039999999999996,GAN
62,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,9,6,0,CNN,4,2,True,False,False,False,Moderate,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD Bias |·| · WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90",,-24.552690627861047,38.75508175732228,CNN,107.78141720303542,150.90226782062624,CNN,246.4400283145463,348.21310336057036,CNN,26.354373187946685,38.78460056098162,CNN,0.7493232585939433,0.3250538701160363,GAN,1.1034844163007884,0.885837272026841,GAN,0.3431670336020191,0.35622730888911613,CNN,0.2628248484067409,0.05883964690749386,GAN,4.568179972972052,2.3675410939113224,GAN,0.0032119999999999926,0.01437199999999994,CNN,0.013319999999999999,0.015236,CNN,0.0014720000000000002,0.0025839999999999995,CNN,0.010276000000000007,0.012268000000000001,CNN,0.010212000000000006,0.007231999999999995,GAN,0.0059640000000000006,0.004059999999999999,GAN
63,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,9,6,0,CNN,4,2,True,False,False,False,Moderate,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, p95 · Exceedance |Δ|, p99","WPD Bias |·| · WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, s>15 · Exceedance |Δ|, p90",,-24.792635267885647,32.90688963815919,CNN,93.56470604591313,129.72220525264623,CNN,218.49390266105485,301.61896231560655,CNN,25.5334580610151,32.93399758013227,CNN,0.8125938319599768,0.30777725142456214,GAN,1.0529831774066243,0.7562390956407806,GAN,0.33906837350291535,0.34952559468188876,CNN,0.2613760286247286,0.06158289482035203,GAN,3.614747600797074,2.794868607066629,GAN,0.0031120000000000037,0.02407999999999999,CNN,0.01239599999999999,0.013940000000000008,CNN,0.0008320000000000001,0.0017439999999999999,CNN,0.011536000000000005,0.012719999999999995,CNN,0.011268,0.008635999999999998,GAN,0.007288,0.0020599999999999993,GAN
79,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,9,6,0,CNN,4,2,True,False,False,False,Moderate,gan_distributional_cases;mt_gan_diagnostic;topology_consensus_gan,,"PSD log-L2 · PSD slope |Δ| · Gradient Wasserstein-1 · Gradient kurtosis |Δ| · Exceedance |Δ|, s>15 · Exceedance |Δ|, p99","WPD Bias |·| · WPD MAE · WPD RMSE · WPD Wasserstein-1 · Gradient MAE · Exceedance |Δ|, s>5 · Exceedance |Δ|, s>10 · Exceedance |Δ|, p90 · Exceedance |Δ|, p95",,-48.710953115637906,101.87198956872,CNN,205.60300403165593,298.6296019015986,CNN,399.30261555933276,575.1078222453988,CNN,55.10009953851963,101.91368252758733,CNN,0.9762584777229625,0.459939185316267,GAN,1.192538066028527,0.9333247815253691,GAN,0.41860008965641154,0.4471332432236266,CNN,0.30353280675083033,0.07856674931795014,GAN,0.6108786119958012,0.15930436760145206,GAN,0.0032719999999999416,0.007139999999999924,CNN,0.012363999999999986,0.031723999999999974,CNN,0.007539999999999999,0.006843999999999999,GAN,0.02008,0.03711599999999998,CNN,0.016332000000000006,0.021559999999999996,CNN,0.006328,0.005935999999999999,GAN
