method_id,display_name,original_method_name,candidate_family,comparison_tier,include_primary,training_scale,architecture,training_tfrecord,evaluation_tfrecord,objective_summary,uses_speed,uses_grad,uses_levelset,uses_crit,uses_e2,repaired_status,historical_alias,data_out_dir,idx_path,data_gt_path,data_sr_path,cheap_eval_csv,cheap_eval_resolution,cheap_pairwise_csv,topology_results_csv,topology_results_resolution,topology_comparison_csv,cheap_report,topology_report,row_count_cheap,row_count_topology,sample_index_status,ssim_status,idx_validation_status,input_alignment_status,gt_alignment_status,sr_shape_status,sr_finiteness_status,topology_mean_pd,topology_mean_mt,expected_pd,expected_mt,validation_status,notes
bicubic,Bicubic baseline,bicubic,baseline,primary_baseline,True,"n/a (interpolation, no training)",bicubic_interpolation,n/a,fixed 168-sample benchmark (data_out_fixed/wind_mrhr_<method>/ npy arrays; data_out_fixed/ is gitignored and absent in this checkout),Bicubic upsampling of the MR input to HR resolution; no learned model.,False,False,False,False,False,baseline,,data_out_fixed/wind_mrhr_bicubic,/home/user/PhIRE/data_out_fixed/wind_mrhr_bicubic/idx.npy,/home/user/PhIRE/data_out_fixed/wind_mrhr_bicubic/dataGT.npy,/home/user/PhIRE/data_out_fixed/wind_mrhr_bicubic/dataSR.npy,,not_found,,,not_found,,,,0,0,no_data_found,no_data (0/168),not_applicable_no_idx_file,missing,missing,missing,missing,,,,,not_applicable,"No expected PD/MT value was supplied for bicubic (it may not have true-topology files at all). Cheap metrics are sourced from harvested candidate-eval baseline rows when available (scripts/generate_bicubic_baseline.py, output convention data_out_fixed/wind_mrhr_bicubic/); missing entirely otherwise. Array validation: dataIN.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_bicubic/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_bicubic/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_bicubic/dataSR.npy"
cnn,CNN baseline (pretrained),cnn,baseline,primary_baseline,True,n/a (released pretrained model),pretrained_cnn,n/a,fixed 168-sample benchmark (data_out_fixed/wind_mrhr_<method>/ npy arrays; data_out_fixed/ is gitignored and absent in this checkout),Released fidelity-oriented pretrained PhIRE CNN; no fine-tuning.,False,False,False,False,False,baseline,,data_out_fixed/wind_mrhr_cnn,/home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/idx.npy,/home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/dataGT.npy,/home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/dataSR.npy,/home/user/PhIRE/ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,legacy_combined,,/home/user/PhIRE/ttk_runs_fixed/combined/phase_c_results.csv,legacy_combined,,,,168,168,exact_0_167,full (168/168),missing,missing,missing,missing,missing,27.406283078086055,5.867795200574966,27.4063,5.8678,PASS,pd_abs_diff=0.000017 mt_abs_diff=0.000005 Array validation: idx.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_cnn/dataSR.npy
gan,GAN baseline (pretrained),gan,baseline,primary_baseline,True,n/a (released pretrained model),pretrained_gan,n/a,fixed 168-sample benchmark (data_out_fixed/wind_mrhr_<method>/ npy arrays; data_out_fixed/ is gitignored and absent in this checkout),Released adversarially-trained pretrained PhIRE GAN; no fine-tuning.,False,False,False,False,False,baseline,,data_out_fixed/wind_mrhr_gan,/home/user/PhIRE/data_out_fixed/wind_mrhr_gan/idx.npy,/home/user/PhIRE/data_out_fixed/wind_mrhr_gan/dataGT.npy,/home/user/PhIRE/data_out_fixed/wind_mrhr_gan/dataSR.npy,/home/user/PhIRE/ttk_runs_fixed/combined/psnr_topology_physics_merged.csv,legacy_combined,,/home/user/PhIRE/ttk_runs_fixed/combined/phase_c_results.csv,legacy_combined,,,,168,168,exact_0_167,full (168/168),missing,missing,missing,missing,missing,20.864090023128004,8.348149540878477,20.8641,8.3481,PASS,pd_abs_diff=0.000010 mt_abs_diff=0.000050 Array validation: idx.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_gan/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_gan/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_gan/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out_fixed/wind_mrhr_gan/dataSR.npy
uv,Candidate UV (vector-only control),candidateUV_expanded2688,UV_control,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv only (ablation control for fine-tuning itself).,False,False,False,False,False,not_applicable,,data_out/wind_finetune_candidateUV_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateUV_expanded2688_eval.md,docs/topology_finetuning_candidateUV_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,29.6121,6.0119,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=29.6121, MT=6.0119. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateUV_expanded2688/dataSR.npy"
speed_only,B-factorial: speed only,candidateB_factorial_speed_expanded2688,B_factorial,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv + 0.01 L_speed.,True,False,False,False,False,not_applicable,,data_out/wind_finetune_candidateB_factorial_speed_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateB_factorial_speed_expanded2688_eval.md,docs/topology_finetuning_candidateB_factorial_speed_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,29.5783,5.9996,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=29.5783, MT=5.9996. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_expanded2688/dataSR.npy"
levelset_only,B-factorial: level-set only,candidateB_factorial_levelset_expanded2688,B_factorial,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv + 0.25 L_levelset.,False,False,True,False,False,not_applicable,,data_out/wind_finetune_candidateB_factorial_levelset_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateB_factorial_levelset_expanded2688_eval.md,docs/topology_finetuning_candidateB_factorial_levelset_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,29.5953,6.0076,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=29.5953, MT=6.0076. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_levelset_expanded2688/dataSR.npy"
speed_levelset,B-factorial: speed + level-set,candidateB_factorial_speed_levelset_expanded2688,B_factorial,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv + 0.01 L_speed + 0.25 L_levelset.,True,False,True,False,False,not_applicable,,data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateB_factorial_speed_levelset_expanded2688_eval.md,docs/topology_finetuning_candidateB_factorial_speed_levelset_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,29.4363,5.9441,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=29.4363, MT=5.9441. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_levelset_expanded2688/dataSR.npy"
grad_only,B-factorial: gradient only,candidateB_factorial_grad_expanded2688,B_factorial,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv + 0.05 L_grad.,False,True,False,False,False,not_applicable,,data_out/wind_finetune_candidateB_factorial_grad_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateB_factorial_grad_expanded2688_eval.md,docs/topology_finetuning_candidateB_factorial_grad_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,22.9326,6.056,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=22.9326, MT=6.056. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_expanded2688/dataSR.npy"
speed_grad,B-factorial: speed + gradient,candidateB_factorial_speed_grad_expanded2688,B_factorial,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv + 0.01 L_speed + 0.05 L_grad.,True,True,False,False,False,not_applicable,,data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateB_factorial_speed_grad_expanded2688_eval.md,docs/topology_finetuning_candidateB_factorial_speed_grad_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,22.9706,6.2905,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=22.9706, MT=6.2905. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_speed_grad_expanded2688/dataSR.npy"
grad_levelset,B-factorial: gradient + level-set,candidateB_factorial_grad_levelset_expanded2688,B_factorial,primary_2688_native_tf,True,2688,native_tf,example_data_topology_expanded_2688/wind_MR-HR.tfrecord,example_data_fixed/wind_MR-HR.tfrecord,L_uv + 0.05 L_grad + 0.25 L_levelset.,False,True,True,False,False,not_applicable,,data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/idx.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/dataGT.npy,/home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/dataSR.npy,,not_found,,,not_found,,docs/topology_finetuning_candidateB_factorial_grad_levelset_expanded2688_eval.md,docs/topology_finetuning_candidateB_factorial_grad_levelset_expanded2688_topology_eval.md,0,0,no_data_found,no_data (0/168),missing,missing,missing,missing,missing,,,22.6194,6.1996,NO_DATA,"No PD/MT source artifact found in this git checkout. Large per-candidate experiment outputs are gitignored (*.npy, *.npz, ttk_runs_fixed/topology_finetuning/* except candidateE_constraints) and appear to exist only on the separate training machine. Expected mean (from user-supplied reference values, NOT verified here): PD=22.6194, MT=6.1996. Array validation: idx.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/idx.npy; dataIN.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/dataIN.npy; dataGT.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/dataGT.npy; dataSR.npy missing at /home/user/PhIRE/data_out/wind_finetune_candidateB_factorial_grad_levelset_expanded2688/dataSR.npy"
