sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_metric_wins,gan_metric_wins,overall_metric_majority,question,groups,crop_panel,full_panel,forced_reason
0,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_000_crop.png,panels_full/sample_000_full.png,
1,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_001_crop.png,panels_full/sample_001_full.png,
2,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_002_crop.png,panels_full/sample_002_full.png,
3,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_003_crop.png,panels_full/sample_003_full.png,
4,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_004_crop.png,panels_full/sample_004_full.png,
5,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_005_crop.png,panels_full/sample_005_full.png,
6,CNN,CNN,GAN,GAN,CNN,CNN,CNN,CNN,13,2,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_006_crop.png,panels_full/sample_006_full.png,
7,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,14,1,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_007_crop.png,panels_full/sample_007_full.png,
8,CNN,CNN,GAN,GAN,CNN,CNN,GAN,CNN,11,4,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",mt_gan_diagnostic;neartie_topology_validator_disagreement;phase1_core_contrast;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_008_crop.png,panels_full/sample_008_full.png,
9,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_009_crop.png,panels_full/sample_009_full.png,
10,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,GAN,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_010_crop.png,panels_full/sample_010_full.png,adjacent control before sample 12
11,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,GAN,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_011_crop.png,panels_full/sample_011_full.png,adjacent control before sample 12
